"","longitude","latitude","density"
"1",-75.2253570730037,4.4272988890535,429.099159903811
"2",-75.2233570729329,4.42729888917419,434.543435477799
"3",-75.225357072996,4.42929888931009,433.235857704769
"4",-75.2233570728936,4.42929888923616,428.260504883499
"5",-75.2373570727997,4.43129888924694,433.723723621612
"6",-75.2353570731701,4.43129888929971,445.804365093734
"7",-75.2333570727262,4.4312988893644,456.480082432598
"8",-75.2313570730009,4.43129888935318,464.740294503353
"9",-75.2293570729312,4.4312988892892,467.755442161701
"10",-75.2273570729003,4.43129888923715,462.063453542846
"11",-75.2253570729969,4.43129888920859,444.909356608938
"12",-75.2433570729876,4.4332988890475,484.321907750843
"13",-75.2413570728957,4.43329888907685,535.477386738619
"14",-75.2393570730362,4.43329888913213,570.857259515555
"15",-75.23735707277,4.43329888912548,591.211458961712
"16",-75.2353570731272,4.43329888914477,598.149519770821
"17",-75.2333570727469,4.43329888910214,592.969671819359
"18",-75.2313570730083,4.43329888908544,576.32430082624
"19",-75.2293570730021,4.43329888907151,548.684989241183
"20",-75.227357072858,4.43329888909508,511.095466484812
"21",-75.2253570730181,4.43329888914459,465.655369529752
"22",-75.2473570730427,4.43529888906722,428.45466901408
"23",-75.2453570728573,4.43529888908698,542.341986945614
"24",-75.2433570729864,4.43529888914664,650.578422361051
"25",-75.2413570728672,4.43529888914682,742.089355975064
"26",-75.2393570729804,4.43529888917534,807.299209051527
"27",-75.2373570728637,4.43529888914437,839.695325005875
"28",-75.2353570730401,4.4352988891186,836.870771115809
"29",-75.2333570727859,4.43529888920902,800.906256806566
"30",-75.2313570730317,4.43529888916368,737.96586946506
"31",-75.2293570730099,4.43529888914669,657.093311870557
"32",-75.2273570728267,4.43529888914648,568.434246963823
"33",-75.2253570729713,4.43529888917461,481.341458381645
"34",-75.1813570730377,4.43529888912134,434.499408898398
"35",-75.1793570728571,4.43529888902932,440.018452860289
"36",-75.1773570728341,4.43529888905348,441.480123189173
"37",-75.1753570728665,4.43529888909437,436.46681241435
"38",-75.2473570730432,4.43729888920686,517.872158239421
"39",-75.2453570727513,4.43729888929201,682.598841046804
"40",-75.2433570730158,4.43729888930851,849.601266215667
"41",-75.2413570729785,4.43729888916852,1000.24918585417
"42",-75.2393570728619,4.43729888914715,1115.09750550227
"43",-75.2373570729038,4.43729888925596,1177.75392558804
"44",-75.2353570730505,4.43729888923144,1178.76665065127
"45",-75.2333570727899,4.43729888912669,1118.39156373508
"46",-75.231357073071,4.43729888912899,1007.08088857016
"47",-75.2293570729427,4.43729888917363,863.161395307192
"48",-75.2273570728182,4.43729888924904,708.303602441282
"49",-75.225357072933,4.43729888926739,562.369186447201
"50",-75.223357073003,4.43729888921709,439.419745700451
"51",-75.1773570728707,4.4372988892192,435.746506734227
"52",-75.175357072885,4.43729888912364,443.321142150999
"53",-75.1733570729133,4.43729888913505,442.38044349085
"54",-75.1713570730272,4.43729888917724,432.367394114874
"55",-75.2473570729908,4.43929888926169,506.668945022184
"56",-75.2453570727667,4.4392988892134,688.760275495332
"57",-75.243357072999,4.4392988891983,880.101858867545
"58",-75.2413570730295,4.43929888930424,1059.5445023304
"59",-75.2393570728808,4.43929888925612,1203.87271901291
"60",-75.2373570727905,4.43929888924119,1292.35515248545
"61",-75.2353570730934,4.43929888933572,1311.45362472809
"62",-75.233357072889,4.43929888929934,1258.52506617
"63",-75.2313570729728,4.43929888929615,1143.20682866327
"64",-75.2293570729775,4.43929888931458,985.574551283509
"65",-75.2273570728324,4.43929888919052,811.2918253905
"66",-75.225357072915,4.43929888917591,645.317186740271
"67",-75.2233570730529,4.4392988891945,506.386897388577
"68",-75.2453570728151,4.44129888880899,509.542501176719
"69",-75.243357072936,4.44129888883857,664.077996382275
"70",-75.2413570730087,4.44129888881592,811.50235865064
"71",-75.239357072937,4.44129888882889,932.491256332489
"72",-75.2373570728005,4.44129888877806,1010.17073662592
"73",-75.235357072992,4.44129888877442,1034.01451677323
"74",-75.2333570729181,4.44129888888266,1002.46313686975
"75",-75.2313570729906,4.44129888883926,923.566589035104
"76",-75.229357072949,4.44129888883148,813.301824458763
"77",-75.2273570729577,4.44129888885931,691.811659376784
"78",-75.225357072829,4.44129888883491,578.583534358047
"79",-75.2233570731089,4.44129888884614,488.088940300917
"80",-75.2213570728367,4.44129888880514,427.208301870268
"81",-75.2413570730276,4.44329888947065,468.174323659797
"82",-75.2393570729305,4.44329888944529,542.896879524714
"83",-75.2373570728453,4.44329888945798,590.131245865657
"84",-75.2353570729998,4.44329888940928,604.044425042392
"85",-75.2333570728121,4.44329888939863,585.839308743633
"86",-75.2313570731011,4.44329888943758,543.446027704852
"87",-75.2293570728689,4.44329888941517,489.334132360389
"88",-75.2273570729174,4.44329888950705,437.17402207427
"89",-75.2153570728218,4.44329888951639,434.431549659347
"90",-75.213357073148,4.44329888941218,439.316078816417
"91",-75.1473570728888,4.44729888936907,441.974575684779
"92",-75.1453570730309,4.44729888932884,464.936241604455
"93",-75.1433570728532,4.44729888924369,453.247532230288
"94",-75.1473570729076,4.4492988891831,455.149148798567
"95",-75.145357073017,4.44929888921838,490.555781907049
"96",-75.1433570728716,4.44929888929897,493.711233657714
"97",-75.1413570730252,4.44929888923762,464.481734897078
